Image ID,VALENCE,EXCITEMENT,SEXUAL DESIRE,RECOGNITION,FAMILY LOVE,CONTENTMENT,FRIENDSHIP,AMUSEMENT,PLEASURE,GRATITUDE
scenes/Fireworks 2.jpg,9,7,0,7,4,1,3,4,2,6
scenes/Lake 3.jpg,9,2,0,7,6,8,3,0,4,6
scenes/Lake 12.jpg,10,7,0,2,2,3,2,1,5,7
scenes/Lake 9.jpg,9,6,0,6,5,4,3,1,6,6
scenes/Nature 1.jpg,9,2,0,6,4,4,2,1,5,5
scenes/Bridge 1.jpg,8,3,0,8,1,3,2,0,2,7
animals/Cat 5.jpg,10,3,0,7,7,4,4,4,2,6
animals/Dog 6.jpg,8,6,0,2,1,1,2,8,0,0
animals/Chipmunk 2.jpg,9,7,0,3,0,0,2,7,2,2
animals/Lamb 1.jpg,7,6,0,4,2,1,3,7,2,3
animals/Bird 3.jpg,8,7,0,2,1,1,3,7,2,2
objects/Food 5.jpg,9,1,0,7,2,7,0,0,8,1
neutral/Wall 1.jpg,2,0,0,0,0,0,0,0,0,0
neutral/Wall 2.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Wall 3.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Wall 4.jpg,2,0,0,0,0,0,0,0,1,0
neutral/Wall 5.jpg,1,0,0,2,0,0,0,0,0,0
neutral/Cardboard 1.jpg,1,0,0,3,0,0,0,0,0,0
neutral/Cardboard 2.jpg,1,0,0,0,0,0,0,0,1,0
neutral/Bark 1.jpg,3,0,0,4,0,2,0,0,5,0
neutral/Roofing 1.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Roofing 3.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Roofing 5.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Sidewalk 3.jpg,1,0,0,2,1,0,0,0,0,0
