Image ID,VALENCE,EXCITEMENT,SEXUAL DESIRE,RECOGNITION,FAMILY LOVE,CONTENTMENT,FRIENDSHIP,AMUSEMENT,PLEASURE,GRATITUDE
people/Beach 6.jpg,8,5,2,3,7,8,3,5,4,6
people/Performance 2.jpg,9,8,3,2,5,3,8,8,6,6
people/Toast 1.jpg,8,7,6,3,5,3,8,8,5,6
scenes/Nature 1.jpg,7,5,4,5,5,7,5,5,4,8
animals/Dog 12.jpg,9,7,0,2,6,4,7,7,2,5
animals/Dog 28.jpg,8,6,0,2,7,6,5,5,2,6
objects/Coffee 1.jpg,7,6,0,0,0,7,0,0,5,3
objects/Flowers 2.jpg,8,7,3,4,6,8,5,0,3,8
objects/Wedding ring 1.jpg,8,6,5,2,2,5,3,5,6,8
objects/Alcohol 8.jpg,10,8,6,2,0,6,2,6,6,8
objects/Food 2.jpg,9,5,0,3,5,6,7,7,7,5
scenes/Beach 2.jpg,9,5,2,6,3,6,4,5,4,8
neutral/Roofing 1.jpg,1,0,0,0,2,0,0,0,0,2
neutral/Rocks 2.jpg,3,2,0,0,1,2,0,0,0,0
neutral/Bark 1.jpg,2,2,0,0,3,0,1,1,0,0
neutral/Cardboard 2.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Dirt 1.jpg,1,0,0,0,1,0,1,0,0,0
neutral/Wall 2.jpg,3,0,0,0,0,2,0,0,1,0
neutral/Wall 4.jpg,2,0,1,0,0,0,0,2,0,0
neutral/Wall 1.jpg,2,0,0,0,0,1,0,0,0,0
neutral/Roofing 5.jpg,3,2,0,0,2,3,0,0,0,2
neutral/Rocks 7.jpg,3,2,0,0,1,2,3,2,0,0
neutral/Rocks 6.jpg,2,0,0,0,2,0,3,1,0,0
neutral/Bricks 1.jpg,2,0,0,2,0,2,0,0,0,2
