Image ID,VALENCE,EXCITEMENT,SEXUAL DESIRE,RECOGNITION,FAMILY LOVE,CONTENTMENT,FRIENDSHIP,AMUSEMENT,PLEASURE,GRATITUDE
objects/Rubber duck 1.jpg,10,5,0,0,5,0,0,6,0,0
objects/Present 2.jpg,7,6,0,0,4,0,7,8,0,7
objects/Food 3.jpg,6,0,0,0,0,4,0,0,6,0
objects/Cold 8.jpg,10,5,0,0,8,0,6,7,0,4
objects/Dessert 2.jpg,8,5,0,0,8,5,4,6,0,0
objects/Dessert 3.jpg,10,5,0,6,8,5,5,6,6,7
objects/Bubble 2.jpg,9,6,0,0,5,0,6,7,0,0
objects/Birthday 1.jpg,10,6,0,0,8,0,5,5,0,8
objects/Dessert 6.jpg,8,4,0,0,5,0,6,7,7,6
objects/Ornament 1.jpg,10,7,0,0,8,0,0,6,0,5
objects/Flowers 2.jpg,6,2,0,0,4,0,5,6,0,7
objects/Coffee 1.jpg,6,0,0,0,0,5,4,4,6,0
neutral/Wall 5.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Wall 4.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Sidewalk 3.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Roofing 5.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Wall 3.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Wall 2.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Roofing 3.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Roofing 1.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Wall 1.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Rocks 3.jpg,2,0,0,0,0,0,0,0,0,0
neutral/Bricks 1.jpg,1,0,0,0,0,0,0,0,0,0
neutral/Rocks 6.jpg,2,0,0,0,0,0,0,0,0,0
